date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_put_0,NIFTY,normal_sell,45790,10:25,NFO,,50,2245000.0,84.15,84.15,0,complete,0300052ANKN1226,5000,2024-04-04,0300052ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,10:25,NFO,,50,2250000.0,138.15,133.15,0,trigger pending,0300053ANKN1226,5000,2024-04-04,0300053ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,10:25,NFO,,50,2245000.0,138.15,133.15,0,trigger pending,0300054ANKN1226,5000,2024-04-04,0300054ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,10:30,NFO,,50,2250000.0,44.95,44.95,0,complete,0300055ANKN1226,5000,2024-04-04,0300055ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,10:30,NFO,,50,2245000.0,85.5,85.5,0,complete,0300056ANKN1226,5000,2024-04-04,0300056ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,10:30,NFO,,50,2250000.0,135.45,130.45,0,trigger pending,0300057ANKN1226,5000,2024-04-04,0300057ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,10:30,NFO,,50,2245000.0,135.45,130.45,0,trigger pending,0300058ANKN1226,5000,2024-04-04,0300058ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,10:35,NFO,,50,2250000.0,43.85,43.85,0,complete,0300059ANKN1226,5000,2024-04-04,0300059ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,10:35,NFO,,50,2245000.0,85.55,85.55,0,complete,0300060ANKN1226,5000,2024-04-04,0300060ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,10:35,NFO,,50,2250000.0,134.4,129.4,0,trigger pending,0300061ANKN1226,5000,2024-04-04,0300061ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,10:35,NFO,,50,2245000.0,134.4,129.4,0,trigger pending,0300062ANKN1226,5000,2024-04-04,0300062ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,10:40,NFO,,50,2250000.0,42.3,42.3,0,complete,0300063ANKN1226,5000,2024-04-04,0300063ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,10:40,NFO,,50,2245000.0,85.05,85.05,0,complete,0300064ANKN1226,5000,2024-04-04,0300064ANKN1226,,INTRADAY
